Why WRB O
Did NNP O
Chinese NNP O
Spyware NNP O
Linger NNP O
in IN O
U.S NNP O
. . O

Phones NNS O
? . O

November NNP O
16 CD O
, , O
2016 CD O
In IN O
what WP O
's VBZ O
being VBG O
chalked VBN O
up RP O
as IN O
an DT O
apparent JJ O
mistake NN O
, , O
more JJR O
than IN O
120,000 CD O
Android NNP B-System
phones NNS O
sold VBN O
in IN O
the DT O
U.S. NNP O
were VBD O
shipped VBN O
with IN O
spying VBG O
code NN O
that WDT O
sent VBD O
text NN O
messages NNS O
, , O
call VB O
logs NNS O
and CC O
other JJ O
sensitive JJ O
data NNS O
to TO O
a DT O
server NN O
in IN O
Shanghai NNP O
. . O

The DT O
New NNP B-Organization
York NNP I-Organization
Times NNP I-Organization
reported VBD O
on IN O
Nov. NNP O
15 CD O
that IN O
Kryptowire NNP B-Organization
, , O
a DT O
mobile JJ O
enterprise NN O
security NN O
company NN O
, , O
discovered VBD O
the DT O
code NN O
on IN O
a DT O
lower-end JJ O
smartphone NN O
made VBN O
by IN O
BLU NNP B-Organization
Products NNPS O
of IN O
Doral NNP O
, , O
Fla NNP O
. . O

The DT O
phones NNS O
are VBP O
sold VBN O
at IN O
Best NNP B-Organization
Buy NNP I-Organization
and CC O
Amazon.com NNP B-Organization
, , O
among IN O
other JJ O
retail JJ O
outlets NNS O
. . O

Kryptowire NNP B-Organization
says VBZ O
the DT O
code NN O
, , O
which WDT O
it PRP O
found VBD O
on IN O
a DT O
BLU NNP B-Organization
R1 NNP O
HD NNP O
devices NNS O
, , O
transmitted VBD O
fine-grained JJ O
location NN O
information NN O
and CC O
allowed VBN O
for IN O
the DT O
remote JJ O
installation NN O
of IN O
other JJ O
apps NN O
. . O

Text JJ O
message NN O
and CC O
call VB O
logs NNS O
were VBD O
transmitted VBN O
every DT O
72 CD O
hours NNS O
to TO O
the DT O
Shanghai NNP O
server NN O
, , O
and CC O
once RB O
a DT O
day NN O
for IN O
other JJ O
personally RB O
identifiable JJ O
data NNS O
, , O
the DT O
company NN O
says VBZ O
. . O

It PRP O
turns VBZ O
out RP O
, , O
however RB O
, , O
that IN O
other JJ O
