Why	WRB	InitCap	O
Did	NNP	InitCap	O
Chinese	NNP	InitCap	O
Spyware	NNP	InitCap	O
Linger	NNP	InitCap	O
in	IN	lowercase	O
U.S	NNP	ALLCAPS	O
.	.	other	O

Phones	NNS	InitCap	O
?	.	other	O

November	NNP	InitCap	O
16	CD	numeric	O
,	,	other	O
2016	CD	numeric	O
In	IN	InitCap	O
what	WP	lowercase	O
's	VBZ	lowercase	O
being	VBG	lowercase	O
chalked	VBN	lowercase	O
up	RP	lowercase	O
as	IN	lowercase	O
an	DT	lowercase	O
apparent	JJ	lowercase	O
mistake	NN	lowercase	O
,	,	other	O
more	JJR	lowercase	O
than	IN	lowercase	O
120,000	CD	other	O
Android	NNP	InitCap	B-System
phones	NNS	lowercase	O
sold	VBN	lowercase	O
in	IN	lowercase	O
the	DT	lowercase	O
U.S.	NNP	ALLCAPS	O
were	VBD	lowercase	O
shipped	VBN	lowercase	O
with	IN	lowercase	O
spying	VBG	lowercase	O
code	NN	lowercase	O
that	WDT	lowercase	O
sent	VBD	lowercase	O
text	NN	lowercase	O
messages	NNS	lowercase	O
,	,	other	O
call	VB	lowercase	O
logs	NNS	lowercase	O
and	CC	lowercase	O
other	JJ	lowercase	O
sensitive	JJ	lowercase	O
data	NNS	lowercase	O
to	TO	lowercase	O
a	DT	lowercase	O
server	NN	lowercase	O
in	IN	lowercase	O
Shanghai	NNP	InitCap	O
.	.	other	O

The	DT	InitCap	O
New	NNP	InitCap	B-Organization
York	NNP	InitCap	I-Organization
Times	NNP	InitCap	I-Organization
reported	VBD	lowercase	O
on	IN	lowercase	O
Nov.	NNP	InitCap	O
15	CD	numeric	O
that	IN	lowercase	O
Kryptowire	NNP	InitCap	B-Organization
,	,	other	O
a	DT	lowercase	O
mobile	JJ	lowercase	O
enterprise	NN	lowercase	O
security	NN	lowercase	O
company	NN	lowercase	O
,	,	other	O
discovered	VBD	lowercase	O
the	DT	lowercase	O
code	NN	lowercase	O
on	IN	lowercase	O
a	DT	lowercase	O
lower-end	JJ	lowercase	O
smartphone	NN	lowercase	O
made	VBN	lowercase	O
by	IN	lowercase	O
BLU	NNP	ALLCAPS	B-Organization
Products	NNPS	InitCap	O
of	IN	lowercase	O
Doral	NNP	InitCap	O
,	,	other	O
Fla	NNP	InitCap	O
.	.	other	O

The	DT	InitCap	O
phones	NNS	lowercase	O
are	VBP	lowercase	O
sold	VBN	lowercase	O
at	IN	lowercase	O
Best	NNP	InitCap	B-Organization
Buy	NNP	InitCap	I-Organization
and	CC	lowercase	O
Amazon.com	NNP	InitCap	B-Organization
,	,	other	O
among	IN	lowercase	O
other	JJ	lowercase	O
retail	JJ	lowercase	O
outlets	NNS	lowercase	O
.	.	other	O

Kryptowire	NNP	InitCap	B-Organization
says	VBZ	lowercase	O
the	DT	lowercase	O
code	NN	lowercase	O
,	,	other	O
which	WDT	lowercase	O
it	PRP	lowercase	O
found	VBD	lowercase	O
on	IN	lowercase	O
a	DT	lowercase	O
BLU	NNP	ALLCAPS	B-Organization
R1	NNP	mixed	O
HD	NNP	ALLCAPS	O
devices	NNS	lowercase	O
,	,	other	O
transmitted	VBD	lowercase	O
fine-grained	JJ	lowercase	O
location	NN	lowercase	O
information	NN	lowercase	O
and	CC	lowercase	O
allowed	VBN	lowercase	O
for	IN	lowercase	O
the	DT	lowercase	O
remote	JJ	lowercase	O
installation	NN	lowercase	O
of	IN	lowercase	O
other	JJ	lowercase	O
apps	NN	lowercase	O
.	.	other	O

Text	JJ	InitCap	O
message	NN	lowercase	O
and	CC	lowercase	O
call	VB	lowercase	O
logs	NNS	lowercase	O
were	VBD	lowercase	O
transmitted	VBN	lowercase	O
every	DT	lowercase	O
72	CD	numeric	O
hours	NNS	lowercase	O
to	TO	lowercase	O
the	DT	lowercase	O
Shanghai	NNP	InitCap	O
server	NN	lowercase	O
,	,	other	O
and	CC	lowercase	O
once	RB	lowercase	O
a	DT	lowercase	O
day	NN	lowercase	O
for	IN	lowercase	O
other	JJ	lowercase	O
personally	RB	lowercase	O
identifiable	JJ	lowercase	O
data	NNS	lowercase	O
,	,	other	O
the	DT	lowercase	O
company	NN	lowercase	O
says	VBZ	lowercase	O
.	.	other	O

It	PRP	InitCap	O
turns	VBZ	lowercase	O
out	RP	lowercase	O
,	,	other	O
however	RB	lowercase	O
,	,	other	O
that	IN	lowercase	O
other	JJ	lowercase	O
security	NN	lowercase	O
researchers	NNS	lowercase	O
noticed	VBD	lowercase	O
suspicious	JJ	lowercase	O
and	CC	lowercase	O
faulty	JJ	lowercase	O
code	NN	lowercase	O
on	IN	lowercase	O
BLU	NNP	ALLCAPS	B-Organization
devices	NNS	lowercase	O
as	RB	lowercase	O
early	RB	lowercase	O
as	IN	lowercase	O
March	NNP	InitCap	O
2015	CD	numeric	O
,	,	other	O
and	CC	lowercase	O
it	PRP	lowercase	O
has	VBZ	lowercase	O
taken	VBN	lowercase	O
nearly	RB	lowercase	O
that	RB	lowercase	O
long	RB	lowercase	O
to	TO	lowercase	O
remove	VB	lowercase	O
it	PRP	lowercase	O
from	IN	lowercase	O
the	DT	lowercase	O
company	NN	lowercase	O
's	POS	lowercase	O
devices	NNS	lowercase	O
.	.	other	O

The	DT	InitCap	O
finding	NN	lowercase	O
,	,	other	O
in	IN	lowercase	O
part	NN	lowercase	O
,	,	other	O
shows	VBZ	lowercase	O
the	DT	lowercase	O
risk	NN	lowercase	O
that	WDT	lowercase	O
can	MD	lowercase	O
come	VB	lowercase	O
in	IN	lowercase	O
opting	VBG	lowercase	O
for	IN	lowercase	O
less	RBR	lowercase	O
expensive	JJ	lowercase	O
smartphones	NNS	lowercase	O
,	,	other	O
whose	WP$	lowercase	O
manufacturers	NNS	lowercase	O
may	MD	lowercase	O
not	RB	lowercase	O
diligently	VB	lowercase	O
fix	JJ	lowercase	O
security	NN	lowercase	B-Vulnerability
vulnerabilities	NNS	lowercase	I-Vulnerability
.	.	other	O

It	PRP	InitCap	O
's	VBZ	lowercase	O
also	RB	lowercase	O
raising	VBG	lowercase	O
eyebrows	NNS	lowercase	O
because	IN	lowercase	O
of	IN	lowercase	O
the	DT	lowercase	O
connection	NN	lowercase	O
with	IN	lowercase	O
China	NNP	InitCap	O
,	,	other	O
which	WDT	lowercase	O
has	VBZ	lowercase	O
frequently	RB	lowercase	O
sparred	VBN	lowercase	O
with	IN	lowercase	O
the	DT	lowercase	O
U.S.	NNP	ALLCAPS	O
over	IN	lowercase	O
cyber	JJ	lowercase	O
espionage	NN	lowercase	O
.	.	other	O

BLU	NNP	ALLCAPS	B-Organization
Products	NNP	InitCap	O
has	VBZ	lowercase	O
now	RB	lowercase	O
updated	VBN	lowercase	O
its	PRP$	lowercase	O
phones	NNS	lowercase	O
to	TO	lowercase	O
remove	VB	lowercase	O
the	DT	lowercase	O
spying	NN	lowercase	O
code	NN	lowercase	O
,	,	other	O
which	WDT	lowercase	O
most	JJS	lowercase	O
likely	RB	lowercase	O
would	MD	lowercase	O
have	VB	lowercase	O
never	RB	lowercase	O
been	VBN	lowercase	O
detected	VBN	lowercase	O
by	IN	lowercase	O
regular	JJ	lowercase	O
users	NNS	lowercase	O
.	.	other	O

The	DT	InitCap	O
code	NN	lowercase	O
never	RB	lowercase	O
informed	VBD	lowercase	O
phone	NN	lowercase	O
users	NNS	lowercase	O
that	IN	lowercase	O
it	PRP	lowercase	O
was	VBD	lowercase	O
collecting	VBG	lowercase	O
that	IN	lowercase	O
data	NNS	lowercase	O
,	,	other	O
a	DT	lowercase	O
behavior	JJ	lowercase	O
uniformly	NN	lowercase	O
viewed	VBN	lowercase	O
by	IN	lowercase	O
many	JJ	lowercase	O
as	IN	lowercase	O
a	DT	lowercase	O
serious	JJ	lowercase	O
security	NN	lowercase	O
concern	NN	lowercase	O
.	.	other	O

The	DT	InitCap	O
developer	NN	lowercase	O
of	IN	lowercase	O
the	DT	lowercase	O
code	NN	lowercase	O
,	,	other	O
Shanghai	NNP	InitCap	B-Organization
Adups	NNP	InitCap	I-Organization
Technology	NNP	InitCap	I-Organization
Co.	NNP	InitCap	I-Organization
,	,	other	O
has	VBZ	lowercase	O
apologized	VBN	lowercase	O
,	,	other	O
contending	VBG	lowercase	O
that	IN	lowercase	O
the	DT	lowercase	O
code	NN	lowercase	O
was	VBD	lowercase	O
intended	VBN	lowercase	O
for	IN	lowercase	O
another	DT	lowercase	O
one	CD	lowercase	O
of	IN	lowercase	O
its	PRP$	lowercase	O
clients	NNS	lowercase	O
who	WP	lowercase	O
requested	VBD	lowercase	O
better	JJR	lowercase	O
blocking	NN	lowercase	O
of	IN	lowercase	O
junk	NN	lowercase	O
text	NN	lowercase	O
messages	NNS	lowercase	O
and	CC	lowercase	O
marketing	NN	lowercase	O
calls	NNS	lowercase	O
.	.	other	O

Vulnerabilities	NNS	InitCap	O
Reported	VBN	InitCap	O
BLU	NNP	ALLCAPS	O
Products	NNPS	InitCap	O
,	,	other	O
founded	VBN	lowercase	O
in	IN	lowercase	O
2009	CD	numeric	O
,	,	other	O
makes	VBZ	lowercase	O
lower-end	JJ	lowercase	O
Android-powered	JJ	InitCap	B-System
smartphones	NNS	lowercase	O
that	WDT	lowercase	O
sell	VBP	lowercase	O
for	IN	lowercase	O
as	RB	lowercase	O
little	JJ	lowercase	O
as	IN	lowercase	O
$	$	other	O
50	CD	numeric	O
on	IN	lowercase	O
Amazon	NNP	InitCap	B-Organization
.	.	other	O

Like	IN	InitCap	O
many	JJ	lowercase	O
original	JJ	lowercase	O
equipment	NN	lowercase	O
manufacturers	NNS	lowercase	O
,	,	other	O
it	PRP	lowercase	O
uses	VBZ	lowercase	O
software	NN	lowercase	O
components	NNS	lowercase	O
from	IN	lowercase	O
other	JJ	lowercase	O
developers	NNS	lowercase	O
.	.	other	O

The	DT	InitCap	O
company	NN	lowercase	O
uses	VBZ	lowercase	O
a	DT	lowercase	O
type	NN	lowercase	O
of	IN	lowercase	O
software	NN	lowercase	O
from	IN	lowercase	O
Adups	NNP	InitCap	B-Organization
that	WDT	lowercase	O
's	VBZ	lowercase	O
nicknamed	VBN	lowercase	O
FOTA	NNP	ALLCAPS	B-System
,	,	other	O
short	RB	lowercase	O
for	IN	lowercase	O
firmware	JJ	lowercase	O
over-the-air	NN	lowercase	O
.	.	other	O

The	DT	InitCap	O
software	NN	lowercase	O
manages	VBZ	lowercase	O
the	DT	lowercase	O
delivery	NN	lowercase	O
of	IN	lowercase	O
firmware	NN	lowercase	O
updates	VBZ	lowercase	O
over-the-air	JJ	lowercase	O
,	,	other	O
the	DT	lowercase	O
term	NN	lowercase	O
used	VBN	lowercase	O
for	IN	lowercase	O
transmission	NN	lowercase	O
via	IN	lowercase	O
a	DT	lowercase	O
mobile	JJ	lowercase	O
network	NN	lowercase	O
.	.	other	O

Firmware	NNP	InitCap	O
is	VBZ	lowercase	O
low-level	JJ	lowercase	O
code	NN	lowercase	O
deep	NN	lowercase	O
in	IN	lowercase	O
